Player,Age,Pos,GP,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS/48
Alaa Abdelnaby,22.0219028062971,Frontcourt,256,12.5,5.7,3.3,0.3,0.3,0.3,0.502,0,0.701,0.072
Jacque Vaughn,22.3832991101985,Backcourt,776,16.3,4.5,1.3,2.5,0.5,0,0.429,0.352,0.779,0.058
Jawann Oldham,22.9500342231348,Frontcourt,329,15.9,4.4,4.1,0.5,0.3,1.7,0.479,0,0.607,0.039
Rasheed Wallace,20.7912388774812,Frontcourt,1109,32.7,14.4,6.7,1.8,1,1.3,0.467,0.336,0.721,0.139
Terry Mills,22.5311430527036,Frontcourt,678,24.2,10.6,5.4,1.3,0.6,0.4,0.457,0.384,0.781,0.097
Charlie Sitton,21.9774127310062,Frontcourt,43,7.1,2.1,1.4,0.6,0.2,0.1,0.415,0,0.52,0.008
Terry Catledge,21.8377823408624,Frontcourt,515,26.3,12.7,6.4,0.9,0.6,0.2,0.485,0.094,0.654,0.074
Anthony Parker,22.0328542094456,Backcourt,494,27.8,9.1,3.2,2.3,0.9,0.2,0.444,0.404,0.794,0.085
Mike Smrek,22.8131416837782,Frontcourt,194,9.7,2.9,2.2,0.3,0.2,0.8,0.431,0,0.617,0.018
Danny Schayes,22.0985626283368,Frontcourt,1138,19.3,7.7,5,1.1,0.5,0.7,0.481,0.133,0.806,0.107
Manute Bol,22.6872005475702,Frontcourt,624,18.7,2.6,4.2,0.3,0.2,3.3,0.407,0.21,0.561,0.051
Greg Dreiling,23.6242299794661,Frontcourt,474,8.9,2.1,2.1,0.4,0.2,0.3,0.467,0.333,0.649,0.045
Wesley Person,23.2710472279261,Backcourt,733,28.3,11.2,3.3,1.7,0.8,0.3,0.457,0.418,0.778,0.102
Greg Anderson,23.0136892539357,Frontcourt,680,20.6,7.3,6.2,0.6,0.7,0.9,0.492,0.087,0.557,0.064
Fred Roberts,21.8870636550308,Frontcourt,818,18,7.3,2.8,1.2,0.5,0.3,0.502,0.325,0.796,0.086
Keith Smith,22.2874743326489,Backcourt,42,11,3.3,0.8,1,0.6,0.1,0.38,0.333,0.75,-0.003
Rich King,22.2409308692676,Frontcourt,72,4.3,1.9,1,0.3,0.1,0.1,0.393,0,0.662,0.036
Pete Chilcutt,22.7939767282683,Frontcourt,584,14.4,4.3,3.3,0.8,0.5,0.4,0.441,0.381,0.696,0.06
Glenn Robinson,21.4791238877481,Frontcourt,688,36.8,20.7,6.1,2.7,1.2,0.6,0.459,0.34,0.82,0.075
Dee Brown,21.5886379192334,Backcourt,608,27.7,11.1,2.6,3.7,1.3,0.3,0.436,0.357,0.825,0.095
Vin Baker,21.6160164271047,Frontcourt,791,32.5,15,7.4,1.9,0.7,1,0.485,0.215,0.638,0.088
Tellis Frank,22.1697467488022,Frontcourt,264,17.8,6.5,3.9,1,0.6,0.4,0.439,0,0.741,0.041
Milt Wagner,23.3367556468173,Backcourt,53,9.4,4.1,0.7,1.4,0.2,0.1,0.422,0.296,0.875,0.039
Shandon Anderson,22.5010266940452,Frontcourt,719,22.2,7.4,3.1,1.4,0.8,0.3,0.457,0.316,0.739,0.071
Cedric Ceballos,20.9144421629021,Frontcourt,609,24.2,14.3,5.3,1.2,0.7,0.3,0.5,0.309,0.753,0.132
Gheorghe Muresan,22.3887748117728,Frontcourt,307,21.9,9.8,6.4,0.5,0.6,1.5,0.573,0,0.644,0.136
Audie Norris,21.5420944558522,Frontcourt,187,13.8,4.4,3.1,0.8,0.5,0.4,0.511,0,0.662,0.054
Benoit Benjamin,20.5831622176591,Frontcourt,807,27.2,11.4,7.5,1.3,0.6,2,0.497,0.048,0.721,0.072
Matt Steigenga,22.2600958247775,Frontcourt,2,6,1.5,1.5,1,0.5,0.5,0.25,0,0.5,-0.126
Dave Greenwood,22.0930869267625,Frontcourt,823,28.4,10.2,7.9,2,0.7,0.9,0.477,0.138,0.765,0.095
Stuart Gray,21.0793976728268,Frontcourt,386,9,2.3,2.6,0.4,0.2,0.3,0.446,0,0.663,0.046
Brian Evans,22.7994524298426,Frontcourt,102,10.8,3.7,1.6,0.8,0.3,0.2,0.381,0.343,0.82,0.076
Charles Davis,22.6926762491444,Frontcourt,415,12.2,5.3,2.4,0.7,0.3,0.2,0.451,0.17,0.737,0.056
Hawkeye Whitney,22.9828884325804,Backcourt,70,15,5.8,2.1,1.2,0.8,0.1,0.462,0.286,0.75,0.062
Norris Coleman,25.7501711156742,Frontcourt,29,14.9,5.3,2.8,0.4,0.4,0.2,0.346,0.5,0.556,-0.046
Mark Randall,23.7529089664613,Frontcourt,127,7,2.6,1.3,0.4,0.2,0.1,0.443,0.154,0.722,0.054
Don MacLean,22.4517453798768,Frontcourt,319,20.9,10.9,3.8,1.3,0.4,0.2,0.455,0.284,0.765,0.067
Stewart Granger,21.6817248459959,Backcourt,80,12.5,4,1,2.2,0.4,0,0.414,0.235,0.742,-0.005
Gary Leonard,22.3750855578371,Frontcourt,31,4.8,1.4,1.1,0.1,0.1,0.3,0.459,0,0.5,0.029
Clarence Weatherspoon,21.807665982204,Frontcourt,915,30.3,11.5,7.5,1.5,1,0.9,0.471,0.196,0.743,0.101
Dale Ellis,22.9062286105407,Backcourt,1209,28.8,15.7,3.5,1.4,0.8,0.2,0.479,0.403,0.784,0.117
Albert King,21.4928131416838,Frontcourt,534,24,12.1,4.2,2.2,0.8,0.4,0.461,0.268,0.791,0.061
Scott Burrell,22.4791238877481,Backcourt,383,19.8,6.9,3.5,1.4,0.9,0.5,0.418,0.373,0.723,0.104
Austin Croshere,22.1670088980151,Frontcourt,659,17.4,6.8,4,1,0.4,0.3,0.407,0.34,0.861,0.115
Leroy Combs,22.5010266940452,Frontcourt,48,9.3,4.5,1.2,0.8,0.5,0.4,0.497,0,0.615,0.041
Chucky Brown,21.3394934976044,Frontcourt,694,17.2,5.9,3.1,0.8,0.3,0.3,0.491,0.227,0.699,0.076
Frank Johnson,22.5585215605749,Backcourt,596,21.6,8.3,1.7,4.2,1,0.1,0.439,0.218,0.76,0.064
Willie White,21.8459958932238,Backcourt,82,7,3.7,1,1,0.3,0,0.432,0.313,0.741,0.028
Mookie Blaylock,22.2874743326489,Backcourt,889,34.9,13.5,4.1,6.7,2.3,0.3,0.409,0.336,0.736,0.111
Andrew Lang,22.0164271047228,Frontcourt,737,20.8,6,4.8,0.6,0.5,1.5,0.47,0.25,0.744,0.089
Martin Lewis,20.1806981519507,Frontcourt,25,9.6,3.6,1.4,0.3,0.4,0.2,0.473,0.3,0.593,0.026
Tom Gugliotta,22.5284052019165,Frontcourt,763,30.9,13,7.3,2.8,1.4,0.6,0.451,0.284,0.757,0.082
Antoine Carr,21.9445585215606,Frontcourt,987,20,9.3,3.4,1.1,0.4,0.9,0.503,0.13,0.78,0.102
Kobe Bryant,17.8542094455852,Backcourt,1346,36.1,25,5.2,4.7,1.4,0.5,0.447,0.329,0.837,0.17
Peja Stojakovic,19.0602327173169,Frontcourt,804,33.5,17,4.7,1.8,0.9,0.1,0.45,0.401,0.895,0.147
Mike McGee,21.8788501026694,Backcourt,520,17.8,9.6,2.1,1.2,0.7,0.1,0.487,0.354,0.597,0.078
Charles O'Bannon,22.35318275154,Backcourt,48,8.3,2.5,1.4,0.6,0.2,0.1,0.4,0,0.87,0.07
Vlade Divac,21.4106776180698,Frontcourt,1134,29.8,11.8,8.2,3.1,1.1,1.4,0.495,0.235,0.692,0.137
Chris Webber,20.3449691991786,Frontcourt,831,37.1,20.7,9.8,4.2,1.4,1.4,0.479,0.299,0.649,0.132
P.J. Brown,22.7091033538672,Frontcourt,1089,31.1,9.1,7.7,1.5,0.8,1,0.46,0.136,0.794,0.128
Kenny Payne,22.6023271731691,Frontcourt,144,8.1,3.5,1.2,0.4,0.3,0.2,0.41,0.293,0.859,-0.005
David Thirdkill,22.227241615332,Frontcourt,179,8.2,2.8,1.2,0.5,0.3,0.1,0.457,0.091,0.565,0.042
Bo Kimble,24.2327173169062,Backcourt,105,12.7,5.5,1.5,0.9,0.4,0.1,0.386,0.291,0.728,0.004
Anthony Goldwire,22.8268309377139,Backcourt,266,18.6,6.3,1.3,2.8,0.6,0,0.407,0.386,0.792,0.062
Ed Gray,21.7583846680356,Backcourt,60,13.5,6.2,1.2,0.8,0.5,0.2,0.339,0.341,0.814,0.009
Fennis Dembo,22.4407939767283,Frontcourt,31,2.4,1.2,0.7,0.2,0,0,0.333,0,0.8,-0.037
Sean Rooks,22.8049281314168,Frontcourt,749,18.1,6.2,3.8,0.8,0.3,0.7,0.459,0.091,0.699,0.057
Victor Alexander,21.8323066392882,Frontcourt,286,20.1,8.9,4.8,0.9,0.5,0.6,0.518,0.286,0.634,0.073
Jeff Turner,22.2108145106092,Frontcourt,612,18.4,6,3.3,1,0.4,0.1,0.467,0.344,0.769,0.038
Ed Pinckney,22.2436687200548,Frontcourt,793,19.8,6.8,5,0.9,0.8,0.5,0.535,0,0.765,0.13
Nate McMillan,21.8843258042437,Backcourt,796,25.7,5.9,4,6.1,1.9,0.4,0.443,0.343,0.65,0.118
Eric Leckner,22.104038329911,Frontcourt,449,12.1,4.1,3.2,0.5,0.2,0.3,0.508,0,0.669,0.054
Doug Smith,21.7857631759069,Frontcourt,296,19.7,8,4.2,1.4,0.8,0.5,0.425,0.083,0.773,0.024
Tom Sewell,22.290212183436,Backcourt,21,4.1,1,0.2,0.3,0.1,0,0.25,0,0.5,-0.201
Tracy Murray,20.9308692676249,Frontcourt,659,18.4,9,2.5,0.8,0.5,0.2,0.43,0.388,0.829,0.096
Mike Gminski,20.8678986995209,Frontcourt,938,25.6,11.7,6.9,1.3,0.5,1.1,0.465,0.122,0.843,0.111
Jerome Williams,23.145106091718,Frontcourt,587,21.7,6.6,6.4,0.8,1.1,0.2,0.502,0.038,0.645,0.143
Jim Paxson,21.974674880219,Backcourt,784,27.2,14.3,2,2.9,1.2,0.1,0.498,0.225,0.807,0.121
Joe Dumars,22.0848733744011,Backcourt,1018,34.5,16.1,2.2,4.5,0.9,0.1,0.46,0.382,0.843,0.118
Reggie Geary,22.8350444900753,Backcourt,101,9.2,2.1,0.8,1.1,0.5,0.1,0.344,0.328,0.493,0.032
Walter McCarty,22.4134154688569,Frontcourt,593,17.5,5.2,2.6,1.1,0.6,0.3,0.392,0.346,0.698,0.064
Kiki Vandeweghe,21.8733744010951,Frontcourt,810,30.3,19.7,3.4,2.1,0.6,0.3,0.525,0.368,0.872,0.148
Shawn Respert,23.4052019164955,Backcourt,172,13.7,4.9,1.3,1,0.5,0,0.414,0.34,0.816,0.043
James Bailey,22.1095140314853,Frontcourt,595,19.5,8.8,5,0.8,0.5,0.9,0.484,0.077,0.703,0.067
Jamie Watson,22.3613963039014,Frontcourt,102,12.2,3.2,1.5,1.1,0.6,0.2,0.468,0.316,0.694,0.045
Ronnie Lester,21.4544832306639,Backcourt,250,19.8,7.3,1.9,4,0.7,0.1,0.469,0.227,0.788,0.061
Arvydas Sabonis,21.5065023956194,Frontcourt,470,24.2,12,7.3,2.1,0.8,1.1,0.5,0.328,0.786,0.2
Will Perdue,22.8459958932238,Frontcourt,792,15.6,4.7,4.9,0.8,0.3,0.7,0.515,0.067,0.577,0.103
B.J. Armstrong,21.8131416837782,Backcourt,747,23.8,9.8,1.8,3.3,0.7,0.1,0.477,0.425,0.856,0.121
Steve Colter,21.9199178644764,Backcourt,526,18.2,6.3,2,2.8,0.9,0.1,0.448,0.289,0.778,0.087
Johnny Rogers,22.4791238877481,Frontcourt,69,9.2,3.6,1.5,0.4,0.2,0.2,0.472,0,0.679,0.032
Anthony Cook,22.290212183436,Frontcourt,116,12.9,3.6,3.7,0.3,0.4,0.8,0.439,0,0.524,0.033
Eric Washington,23.2737850787132,Backcourt,104,22.1,6.9,2.1,1,0.8,0.4,0.402,0.346,0.757,0.002
Shaquille O'Neal,20.3148528405202,Frontcourt,1207,34.7,23.7,10.9,2.5,0.6,2.3,0.582,0.045,0.527,0.208
Nick Van Exel,21.6050650239562,Backcourt,880,32.9,14.4,2.9,6.6,0.8,0.1,0.405,0.357,0.794,0.093
Mark Alarie,22.5311430527036,Frontcourt,325,16.9,7.5,3.4,1.1,0.4,0.3,0.475,0.252,0.775,0.073
Jamie Feick,21.9965776865161,Frontcourt,201,21.5,4.5,7.1,0.7,0.6,0.4,0.424,0.4,0.629,0.091
James Worthy,21.3477070499658,Frontcourt,926,32.4,17.6,5.1,3,1.1,0.7,0.521,0.241,0.769,0.13
Gerald Wilkins,21.7830253251198,Backcourt,900,29,13,2.9,3,1,0.2,0.45,0.316,0.745,0.062
Jay Murphy,21.9965776865161,Frontcourt,67,6.5,2.4,1.7,0.2,0.1,0.1,0.332,0,0.607,-0.052
DeJuan Wheat,23.7118412046544,Backcourt,80,9.3,3.3,0.7,1.6,0.4,0,0.383,0.39,0.7,0.034
Chris Gatling,23.8268309377139,Frontcourt,700,19.7,10.3,5.3,0.7,0.7,0.5,0.513,0.249,0.66,0.112
Larry Krystkowiak,21.7446954140999,Frontcourt,420,21.7,8.2,4.9,1.2,0.6,0.1,0.457,0.139,0.795,0.082
Horace Grant,21.9801505817933,Frontcourt,1165,33.2,11.2,8.1,2.2,1,1,0.509,0.063,0.692,0.147
Larry Nance,22.3367556468173,Frontcourt,920,33.4,17.1,8,2.6,0.9,2.2,0.546,0.145,0.755,0.171
Damon Stoudamire,21.829568788501,Backcourt,878,33.2,13.4,3.5,6.1,1.1,0.1,0.406,0.357,0.833,0.091
Sharone Wright,21.4243668720055,Frontcourt,203,22.3,9.7,5,0.6,0.4,1,0.456,0.083,0.618,0.015
Kevin Pritchard,22.9609856262834,Backcourt,94,12,3.6,1,1.6,0.4,0.1,0.399,0.186,0.79,0.017
David Vaughn,22.2792607802875,Frontcourt,118,9.8,2.9,3.1,0.3,0.3,0.4,0.423,0,0.638,0.026
Steve Henson,22.4134154688569,Backcourt,238,9.6,3.1,0.7,2,0.4,0,0.403,0.432,0.869,0.079
Bernard Thompson,21.8186173853525,Frontcourt,204,14.4,5.3,1.7,1.3,0.6,0.1,0.439,0,0.789,0.056
Buck Williams,21.2683093771389,Frontcourt,1307,32.5,12.8,10,1.3,0.8,0.8,0.549,0.167,0.664,0.136
Othell Wilson,22.662559890486,Backcourt,127,16.1,4.2,1.7,3.3,0.9,0.1,0.454,0.176,0.746,0.032
John Duren,21.6269678302532,Backcourt,201,14.7,3.5,1.1,2,0.5,0.1,0.435,0.12,0.75,-0.014
Cliff Robinson,19.2956878850103,Frontcourt,629,30.7,17.2,8.3,2,1,0.7,0.468,0.184,0.722,0.076
Tyrone Corbin,22.4791238877481,Backcourt,1065,26,9.2,4.7,1.8,1.2,0.3,0.456,0.299,0.791,0.098
Kurt Thomas,22.7446954140999,Frontcourt,1110,24.5,8.1,6.6,1.1,0.7,0.8,0.486,0.281,0.76,0.114
Corey Williams,22.1834360027379,Backcourt,39,7.4,2.4,0.9,0.7,0.2,0.1,0.367,0.25,0.826,0.037
Dennis Hopson,22.1806981519507,Backcourt,334,22.5,10.9,2.8,1.6,1,0.5,0.431,0.271,0.765,0.046
Nate Blackwell,22.3613963039014,Backcourt,10,11.2,3.7,0.6,1.8,0.3,0,0.366,0.182,0.833,-0.045
Tyus Edney,22.3805612594114,Backcourt,226,21,7.6,1.7,4,1,0,0.405,0.322,0.806,0.068
Wayman Tisdale,21.0383299110198,Frontcourt,840,28.4,15.3,6.1,1.3,0.6,0.6,0.505,0,0.76,0.092
Joe Barry Carroll,21.8952772073922,Frontcourt,705,32.4,17.7,7.7,1.8,1,1.6,0.474,0,0.747,0.075
Billy Thompson,22.5585215605749,Frontcourt,300,22.3,8.6,5.4,1.7,0.5,0.9,0.505,0.154,0.674,0.069
Aaron McKie,21.7529089664613,Backcourt,793,24.2,7.4,3.3,2.7,1.2,0.2,0.438,0.35,0.779,0.1
Darrin Hancock,22.6680355920602,Backcourt,133,10.5,3.5,1.3,0.7,0.4,0.1,0.53,0.333,0.579,0.038
Marcus Brown,22.2464065708419,Backcourt,27,8.5,3.4,0.8,0.9,0.3,0.1,0.381,0.333,0.714,0.066
Steve Scheffler,22.829568788501,Frontcourt,174,5.3,1.9,1,0.1,0.2,0,0.558,0.2,0.759,0.153
Alvin Robertson,21.9253935660507,Backcourt,779,31.7,14,5.2,5,2.7,0.4,0.477,0.295,0.743,0.101
Bryan Warrick,22.952772073922,Backcourt,169,14.1,4,1.3,2.6,0.5,0.1,0.443,0.208,0.747,0.033
Ron Mercer,21.1177275838467,Backcourt,432,31.1,13.6,3.1,2.1,1.1,0.3,0.429,0.25,0.808,0.034
Monty Williams,22.7392197125257,Frontcourt,456,16.7,6.3,2.8,1.2,0.6,0.3,0.481,0.111,0.665,0.072
Johnny High,22.1806981519507,Backcourt,274,16.6,5.1,2.3,1.9,1.2,0.3,0.435,0.105,0.619,0.05
Stephen Jackson,19.2354551676934,Frontcourt,858,31.9,15.1,3.9,3.1,1.3,0.4,0.414,0.333,0.798,0.063
Steve Alford,22.5913757700205,Backcourt,169,9.7,4.4,0.9,1,0.5,0.1,0.459,0.324,0.87,0.093
Oliver Miller,22.2327173169062,Frontcourt,493,23,7.4,5.9,2.2,0.9,1.5,0.534,0.116,0.639,0.089
Oliver Robinson,22.3093771389459,Backcourt,35,4.2,2.9,0.5,0.6,0.1,0.1,0.361,0.091,0.667,0.018
Kelvin Cato,22.8459958932238,Frontcourt,541,19.6,5.5,5.3,0.5,0.5,1.3,0.507,0.077,0.644,0.129
John Morton,22.1259411362081,Backcourt,128,14.7,4.8,1.3,2.7,0.7,0.2,0.386,0.224,0.787,0.013
Dave Jamerson,22.8870636550308,Backcourt,90,6.6,3.4,0.9,0.7,0.3,0,0.392,0.277,0.86,0.018
Alan Henderson,22.5831622176591,Frontcourt,652,21.1,7.8,5,0.6,0.6,0.5,0.469,0.192,0.639,0.097
John Wallace,22.3915126625599,Frontcourt,381,16.1,7.6,2.8,0.7,0.4,0.6,0.462,0.3,0.74,0.05
Clyde Drexler,21.0301163586585,Backcourt,1086,34.6,20.4,6.1,5.6,2,0.7,0.472,0.318,0.788,0.173
Greg Graham,22.6078028747433,Backcourt,207,12.2,4.5,1.1,1,0.6,0.1,0.407,0.29,0.775,0.025
Ray Tolbert,22.7611225188227,Frontcourt,261,10.7,3.6,2.3,0.5,0.3,0.4,0.495,0,0.544,0.051
Chris Smith,22.1204654346338,Backcourt,224,17.7,5.1,1.3,2.8,0.5,0.3,0.435,0.366,0.713,0.039
Brevin Knight,21.643394934976,Backcourt,729,24.9,7.3,2.4,6.1,1.7,0.1,0.412,0.134,0.789,0.086
Nick Anderson,21.4490075290897,Frontcourt,800,31.2,14.4,5.1,2.6,1.4,0.5,0.446,0.356,0.667,0.106
Litterial Green,22.3148528405202,Backcourt,148,8,2.9,0.5,1.2,0.3,0,0.42,0.077,0.665,0.066
Kenny Fields,22.37234770705,Frontcourt,184,14.6,6.2,2.5,1,0.5,0.2,0.474,0.188,0.733,0.074
Tony Massenburg,22.9226557152635,Frontcourt,683,18,6.2,4.3,0.4,0.4,0.5,0.47,0.091,0.705,0.061
Predrag Drobnjak,21.6762491444216,Frontcourt,278,19.9,7.9,3.5,0.8,0.5,0.4,0.425,0.34,0.799,0.048
Paul Pressey,23.5284052019165,Backcourt,724,27.2,10.6,3.9,5.1,1.4,0.6,0.485,0.222,0.749,0.12
Gerald Glass,22.6379192334018,Backcourt,201,16.7,7.7,2.5,1.5,0.6,0.3,0.433,0.236,0.643,0.025
Ervin Johnson,25.5420944558522,Frontcourt,845,20.1,4.1,6.1,0.5,0.6,1.3,0.505,0.2,0.605,0.107
Todd Fuller,21.9363449691992,Frontcourt,225,11.1,3.7,3,0.2,0.2,0.3,0.422,0,0.668,0.041
Mahmoud Abdul-Rauf,21.3148528405202,Backcourt,586,26.7,14.6,1.9,3.5,0.8,0.1,0.442,0.354,0.905,0.077
Lindsey Hunter,22.5886379192334,Backcourt,937,24.8,8.5,2.2,2.7,1.2,0.2,0.388,0.36,0.746,0.068
John Salley,22.1013004791239,Frontcourt,748,22.1,7,4.5,1.2,0.6,1.3,0.506,0.214,0.714,0.121
Adam Keefe,22.3504449007529,Frontcourt,617,16.7,5,4.1,0.7,0.5,0.3,0.502,0.071,0.714,0.116
Negele Knight,23.3258042436687,Backcourt,276,16.4,6.2,1.3,2.8,0.4,0.1,0.436,0.263,0.73,0.044
Antoine Walker,19.8843258042437,Frontcourt,893,35.3,17.5,7.7,3.5,1.2,0.5,0.414,0.325,0.633,0.058
Hubert Davis,22.1204654346338,Backcourt,685,22.1,8.2,1.5,1.7,0.4,0.1,0.458,0.441,0.837,0.088
Travis Best,22.974674880219,Backcourt,708,21.4,7.6,1.8,3.5,0.9,0.1,0.431,0.345,0.835,0.098
Steve Hamer,22.6324435318275,Frontcourt,35,7.7,2.2,1.7,0.2,0.1,0.1,0.526,0,0.552,0.031
Keith Van Horn,21.6872005475702,Frontcourt,575,31.6,16,6.8,1.6,0.8,0.5,0.443,0.361,0.835,0.11
Jeff Hornacek,23.1396303901437,Backcourt,1077,31.5,14.5,3.4,4.9,1.4,0.2,0.496,0.403,0.877,0.154
Keith Lee,22.4873374401095,Frontcourt,182,16,6.1,4.7,1,0.4,0.6,0.451,0.167,0.746,0.062
Greg Sutton,23.5776865160849,Backcourt,168,11.6,4.5,0.9,1.7,0.5,0.1,0.396,0.361,0.743,0.024
Brad Sellers,23.5147159479808,Frontcourt,398,18,6.3,2.7,1.1,0.3,0.6,0.452,0.2,0.793,0.066
Jim Spanarkel,22.0054757015743,Backcourt,259,20.4,9.7,2.5,2.2,1,0.1,0.47,0.25,0.855,0.112
Guy Williams,23.0054757015743,Frontcourt,26,5.5,2.6,1.3,0.3,0.2,0.2,0.456,0.25,0.455,0.055
Rex Chapman,20.7446954140999,Backcourt,666,29.3,14.6,2.5,2.7,0.9,0.2,0.43,0.35,0.8,0.061
Charles Shackleford,22.1998631074606,Frontcourt,303,15.2,5.4,4.8,0.6,0.4,0.5,0.483,0,0.654,0.076
Elmore Spencer,22.5639972621492,Frontcourt,157,16.8,5.9,3.5,0.7,0.3,1.1,0.516,0,0.58,0.001
Shawn Bradley,21.2874743326489,Frontcourt,832,23.5,8.1,6.3,0.7,0.6,2.5,0.457,0.103,0.716,0.1
Sam Perkins,23.0301163586585,Frontcourt,1286,28.5,11.9,6,1.5,0.9,0.7,0.459,0.362,0.811,0.138
Juwan Howard,21.4024640657084,Frontcourt,1208,30.3,13.4,6.1,2.2,0.7,0.3,0.469,0.12,0.764,0.078
Gary Plummer,22.3394934976044,Frontcourt,126,11.4,4.2,2.4,0.5,0.2,0.2,0.43,0.143,0.717,0.006
LaPhonso Ellis,22.1533196440794,Frontcourt,624,28.2,11.9,6.5,1.6,0.7,0.8,0.452,0.302,0.73,0.089
Bill Martin,22.8542094455852,Frontcourt,84,10.2,4.7,1.6,0.7,0.4,0.1,0.449,0,0.813,0.016
Danny Manning,22.1314168377823,Frontcourt,883,27.4,14,5.2,2.3,1.1,0.9,0.511,0.206,0.729,0.109
Antonio Daniels,22.2847364818617,Backcourt,872,22.6,7.6,1.8,3.4,0.6,0.1,0.444,0.311,0.793,0.115
Bryant Reeves,22.0684462696783,Frontcourt,395,30.6,12.5,6.9,1.6,0.5,0.8,0.475,0.074,0.703,0.052
Dickey Simpkins,22.2436687200548,Frontcourt,327,15.9,4.2,3.6,0.9,0.3,0.2,0.44,0.222,0.618,0.044
Billy Owens,22.1670088980151,Frontcourt,600,29.4,11.7,6.7,2.8,0.9,0.5,0.481,0.291,0.629,0.078
