Player,Age,Pos,GP,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS/48
Isaac Austin,21.8678986995209,Frontcourt,432,19.3,7.6,4.7,1.2,0.5,0.5,0.446,0.176,0.67,0.053
Frankie King,23.0739219712526,Backcourt,13,6.1,2.1,1.2,0.5,0.5,0,0.357,0.333,0.75,0.025
Elden Campbell,21.9418206707734,Frontcourt,1044,24.7,10.3,5.9,1.1,0.7,1.5,0.46,0.054,0.699,0.117
A.C. Green,21.7200547570157,Frontcourt,1278,28.6,9.6,7.4,1.1,0.8,0.4,0.494,0.254,0.734,0.131
Tony Battie,21.3832991101985,Frontcourt,837,21.1,6.1,5.1,0.6,0.5,0.9,0.488,0.162,0.69,0.099
Buck Johnson,22.4681724845996,Frontcourt,505,23.5,9.1,3.5,1.7,0.8,0.5,0.488,0.113,0.738,0.084
Mark Acres,22.6050650239562,Frontcourt,375,16,3.6,4.1,0.5,0.4,0.3,0.506,0.538,0.665,0.075
Greg Minor,22.7939767282683,Backcourt,277,18.6,6.9,2.7,1.4,0.6,0.2,0.478,0.226,0.767,0.077
Larry Drew,22.2053388090349,Backcourt,714,25.7,11.4,1.8,5.2,1.1,0.1,0.467,0.291,0.798,0.064
Byron Houston,22.6023271731691,Frontcourt,214,12.5,3.9,3,0.5,0.5,0.4,0.456,0.256,0.676,0.069
James Cotton,21.5448323066393,Backcourt,19,4.8,2.6,0.8,0,0.2,0.1,0.359,0,0.778,0.008
Malik Sealy,22.4079397672827,Backcourt,493,23.8,10.1,3.2,1.7,1.1,0.3,0.426,0.292,0.809,0.07
Khalid Reeves,21.9691991786448,Backcourt,277,21.1,7.8,2.1,3.2,0.8,0.1,0.416,0.363,0.744,0.069
Ray Blume,22.72553045859,Backcourt,49,11.1,4.6,0.8,1.4,0.5,0,0.459,0.222,0.643,-0.013
Kevin Thompson,22.4079397672827,Frontcourt,14,4.1,0.9,0.9,0.2,0,0.1,0.429,0,0.5,-0.016
Sly Williams,21.4243668720055,Frontcourt,305,21.7,10.9,4.2,2,1.1,0.2,0.478,0.162,0.692,0.097
Rod Foster,22.7282683093771,Backcourt,207,16.6,7.5,1.2,2.3,0.7,0,0.44,0.298,0.768,0.031
Mark West,22.6570841889117,Frontcourt,1090,18.5,5.7,4.9,0.4,0.3,1.3,0.58,0,0.568,0.1
Dontonio Wingfield,20.0301163586585,Frontcourt,114,10.1,3.7,2.4,0.7,0.3,0.1,0.389,0.309,0.721,0.074
Kevin Lynch,22.517453798768,Backcourt,95,12,3.3,1.3,1.1,0.5,0.2,0.436,0.333,0.726,0.016
Kevin McHale,22.4900752908966,Frontcourt,971,31,17.9,7.3,1.7,0.4,1.7,0.554,0.261,0.798,0.18
Jim Jackson,21.7091033538672,Backcourt,885,32.8,14.3,4.7,3.2,0.8,0.2,0.428,0.365,0.825,0.059
Louis Orr,22.1095140314853,Frontcourt,569,23.5,9.7,3.7,1.5,0.8,0.3,0.468,0.083,0.787,0.093
Eric Riley,23.0930869267625,Frontcourt,186,9.9,3.1,2.6,0.3,0.3,0.7,0.456,0,0.704,0.066
Eric Montross,22.7802874743326,Frontcourt,465,18.2,4.5,4.6,0.4,0.3,0.6,0.49,0,0.478,0.048
Derek Strong,22.394250513347,Frontcourt,456,18.7,6.8,4.9,0.6,0.4,0.2,0.43,0.18,0.786,0.104
Franklin Edwards,22.3641341546886,Backcourt,296,15,6.1,1,2.6,0.8,0.1,0.449,0.03,0.795,0.043
Larry Smith,22.4079397672827,Frontcourt,883,25.9,6.7,9.2,1.1,0.8,0.5,0.531,0,0.531,0.096
Terence Stansbury,23.3230663928816,Backcourt,192,15.5,6.3,1.4,2,0.6,0.1,0.444,0.224,0.779,0.038
Malcolm Mackey,22.9856262833676,Frontcourt,22,3.1,1.5,1.1,0,0,0.1,0.378,0,0.5,0.036
Terry Teagle,22.2327173169062,Frontcourt,687,21.1,11.6,2.6,1.4,0.8,0.2,0.465,0.21,0.792,0.044
Quintin Dailey,21.4462696783025,Backcourt,528,23,14.1,2.5,2.3,0.9,0.1,0.454,0.158,0.779,0.05
Andrew DeClercq,22.4161533196441,Frontcourt,587,16.8,4.8,4.2,0.6,0.7,0.5,0.507,0,0.621,0.094
Toni Kukoc,21.7857631759069,Frontcourt,846,26.3,11.6,4.2,3.7,1,0.3,0.447,0.335,0.729,0.129
Sam Vincent,22.1013004791239,Backcourt,396,19,7.8,2.1,3.9,0.7,0.2,0.449,0.182,0.863,0.069
Eric Piatkowski,23.7611225188227,Backcourt,789,18.5,7.5,2.2,1,0.5,0.1,0.434,0.399,0.839,0.102
Jeff Lamp,22.2683093771389,Frontcourt,291,11.9,5.1,1.5,0.9,0.4,0,0.47,0.222,0.841,0.072
Wayne Robinson,22.1587953456537,Frontcourt,81,19.7,7.9,3.6,1.4,0.6,0.3,0.46,0,0.729,0.052
J.R. Reid,21.2546201232033,Frontcourt,672,22.9,8.5,5,1,0.8,0.4,0.472,0.135,0.716,0.07
Isiah Thomas,20.1232032854209,Backcourt,979,36.3,19.2,3.6,9.3,1.9,0.3,0.452,0.29,0.759,0.109
Steve Stipanovich,22.6242299794661,Frontcourt,403,31.2,13.2,7.8,2.3,1,0.9,0.484,0.179,0.796,0.116
Jerome Lane,21.580424366872,Frontcourt,218,14.7,5.3,5.8,1.5,0.6,0.2,0.441,0.063,0.379,0.034
Sam Williams,22.2737850787132,Frontcourt,257,17.6,6.3,4.5,0.6,0.8,1.2,0.5,0,0.653,0.095
Greg Stokes,21.8843258042437,Frontcourt,42,9.1,3.1,1.5,0.4,0.3,0.3,0.445,0,0.696,0.041
David Robinson,21.8898015058179,Frontcourt,987,34.7,21.1,10.6,2.5,1.4,3,0.518,0.25,0.736,0.25
Jud Buechler,22.0355920602327,Frontcourt,720,11.7,3.3,1.8,0.8,0.4,0.2,0.433,0.366,0.633,0.094
Chauncey Billups,20.7611225188227,Backcourt,1043,31.6,15.2,2.9,5.4,1,0.2,0.415,0.387,0.894,0.176
Sherell Ford,22.8514715947981,Frontcourt,28,5,3.2,0.9,0.2,0.3,0,0.375,0.16,0.765,0.124
Willie Anderson,21.4845995893224,Backcourt,555,28.8,12.2,3.8,3.8,1.1,0.6,0.471,0.266,0.786,0.084
Rodrick Rhodes,23.766598220397,Backcourt,72,17.1,5.3,1.2,1.7,1,0.2,0.347,0.2,0.62,-0.064
Claude Gregory,22.4681724845996,Frontcourt,25,12.6,5.4,3.9,0.6,0.4,0.5,0.456,0,0.333,0.007
Bobby Hurley,22.0219028062971,Backcourt,269,15.5,3.8,1.1,3.3,0.4,0,0.353,0.272,0.769,-0.014
Tom Chambers,21.9828884325804,Frontcourt,1107,30.6,18.1,6.1,2.1,0.8,0.6,0.468,0.307,0.807,0.112
Richard Petruska,24.4435318275154,Frontcourt,22,4.2,2.4,1.4,0,0.1,0.1,0.435,0.467,0.75,-0.014
Cory Blackwell,21.2464065708419,Frontcourt,60,9.2,3.4,1.6,0.4,0.4,0.1,0.367,0,0.509,-0.081
Eric Murdock,23.0465434633812,Backcourt,508,23.4,10.1,2.5,4.9,1.6,0.1,0.438,0.343,0.786,0.103
Jeff Grayer,22.5448323066393,Frontcourt,438,18.9,7.4,3,1.4,0.6,0.1,0.457,0.255,0.663,0.052
Ennis Whatley,20.8925393566051,Backcourt,385,18.5,5.6,1.8,4.6,1,0.1,0.468,0.097,0.755,0.065
Doc Rivers,21.7200547570157,Backcourt,864,27.3,10.9,3,5.7,1.8,0.4,0.444,0.328,0.784,0.139
Chris Carr,21.3093771389459,Backcourt,297,15.2,6.7,2.2,1,0.3,0.2,0.416,0.338,0.807,0.042
Ricky Berry,23.7419575633128,Frontcourt,64,22,11,3.1,1.3,0.6,0.3,0.45,0.406,0.789,0.083
Dave Feitl,24.041067761807,Frontcourt,275,10.9,4.3,3,0.5,0.2,0.2,0.433,0,0.751,0.022
Johnny Newman,22.5667351129363,Frontcourt,1159,24.5,11,2.2,1.5,0.9,0.2,0.461,0.336,0.81,0.085
Ronnie Murphy,22.911704312115,Frontcourt,18,4.9,2,0.6,0.3,0.3,0.1,0.286,0.25,0.636,-0.13
Greg Grant,22.8432580424367,Backcourt,274,12.2,2.8,0.9,2.7,0.6,0,0.383,0.281,0.71,0.023
Johnny Moore,21.3258042436687,Backcourt,520,25.8,9.4,3,7.4,2,0.2,0.46,0.251,0.712,0.108
Lester Conner,22.7967145790554,Backcourt,687,21.8,6.3,2.7,3.9,1.6,0.1,0.453,0.202,0.753,0.092
Lancaster Gordon,22.0027378507871,Backcourt,201,12.8,5.6,1.3,1.5,0.6,0.2,0.391,0.271,0.767,-0.05
Karl Malone,21.9171800136893,Frontcourt,1476,37.2,25,10.1,3.6,1.4,0.8,0.516,0.274,0.742,0.205
Mark Jackson,22.2381930184805,Backcourt,1296,30.2,9.6,3.8,8,1.2,0.1,0.447,0.332,0.77,0.113
Michael Wiley,22.6652977412731,Frontcourt,94,13.7,7.4,2.6,0.7,0.5,0.2,0.561,0,0.709,0.107
Lorenzen Wright,20.6570841889117,Frontcourt,778,23.8,8,6.4,0.8,0.6,0.7,0.459,0.069,0.645,0.079
Nick Vanos,22.1971252566735,Frontcourt,68,12.4,3.3,3.5,0.9,0.3,0.4,0.383,0,0.561,-0.007
Rik Smits,21.8624229979466,Frontcourt,867,26.6,14.8,6.1,1.4,0.4,1.3,0.507,0.115,0.773,0.118
Loren Meyer,22.5065023956194,Frontcourt,140,14.6,4.6,3.4,0.6,0.2,0.4,0.432,0.348,0.696,0.012
B.J. Tyler,23.1806981519507,Backcourt,55,14.7,3.5,1.1,3.2,0.7,0,0.381,0.314,0.7,-0.039
Jalen Rose,21.4243668720055,Backcourt,923,30.3,14.3,3.5,3.8,0.8,0.3,0.443,0.355,0.801,0.081
Mark Blount,21.5831622176591,Frontcourt,605,23.1,8.2,4.6,0.8,0.5,0.8,0.504,0.359,0.723,0.065
Jeff Martin,22.4654346338125,Backcourt,143,18.8,6.7,2,0.8,0.5,0.3,0.417,0.282,0.694,0.038
Dennis Rodman,25.1122518822724,Frontcourt,911,31.7,7.3,13.1,1.8,0.7,0.6,0.521,0.231,0.584,0.15
Steve Nash,22.3969883641342,Backcourt,1217,31.3,14.3,3,8.5,0.7,0.1,0.49,0.428,0.904,0.164
Donald Hodge,22.3449691991786,Frontcourt,249,14.1,4.7,3.2,0.8,0.3,0.4,0.437,0.286,0.711,0.025
Rick Fox,21.9363449691992,Frontcourt,930,25.5,9.6,3.8,2.8,1,0.4,0.45,0.349,0.77,0.09
Sean Higgins,21.5037645448323,Backcourt,220,15.2,6.3,1.8,1,0.3,0.1,0.428,0.321,0.85,0.006
Andrew Toney,22.5612594113621,Backcourt,468,26.9,15.9,2.2,4.2,0.8,0.2,0.5,0.342,0.797,0.103
Paul Mokeski,22.4873374401095,Frontcourt,694,14,4,3.4,0.7,0.3,0.4,0.451,0.216,0.694,0.067
Allan Houston,22.2108145106092,Backcourt,839,33.7,17.3,2.9,2.4,0.7,0.2,0.444,0.402,0.863,0.094
Bob Sura,22.2737850787132,Backcourt,657,23.7,8.6,3.4,3.8,1,0.2,0.414,0.325,0.689,0.087
Randy White,21.6598220396988,Frontcourt,281,19.2,7.4,4.9,0.6,0.7,0.5,0.401,0.193,0.707,0.017
Darrell Griffith,22,Backcourt,765,28,16.2,3.3,2.1,1.2,0.3,0.463,0.332,0.707,0.049
Byron Irvin,22.5831622176591,Backcourt,87,9.8,5.2,1.4,0.8,0.5,0,0.471,0.35,0.722,0.121
Michael Brooks,21.829568788501,Frontcourt,319,29.4,12.8,6.3,2.6,1.2,0.4,0.486,0.152,0.714,0.085
Tony Smith,22.0492813141684,Backcourt,457,16,5.5,1.6,1.9,0.7,0.2,0.431,0.307,0.69,0.044
Terry Dehere,21.8131416837782,Backcourt,402,18.2,8,1.5,2.6,0.5,0.1,0.411,0.378,0.779,0.048
Doug Overton,21.9089664613279,Backcourt,499,14.6,4.5,1.3,2.1,0.4,0,0.412,0.319,0.816,0.016
Priest Lauderdale,22.8350444900753,Frontcourt,74,7.1,3.4,1.9,0.4,0.1,0.4,0.472,0,0.554,-0.074
George Lynch,22.8377823408624,Frontcourt,774,22.8,6.6,5,1.4,1.1,0.3,0.446,0.306,0.652,0.088
Tim Duncan,21.1806981519507,Frontcourt,1392,34,19,10.8,3,0.7,2.2,0.506,0.179,0.696,0.209
Tracy Jackson,22.1505817932923,Backcourt,129,13.9,5.4,1.9,1,0.6,0.1,0.463,0.154,0.749,0.064
Kenny Green,20.6981519507187,Frontcourt,60,10.4,4.4,1.7,0.3,0.2,0.2,0.412,0,0.721,-0.022
Rickey Brown,21.8213552361396,Frontcourt,340,13.2,4.4,3.5,0.4,0.3,0.3,0.464,0,0.667,0.051
Reggie Miller,21.8405201916496,Backcourt,1389,34.3,18.2,3,3,1.1,0.2,0.471,0.395,0.888,0.176
Duane Washington,22.8213552361396,Backcourt,19,9.7,2.8,1.3,2.1,0.7,0,0.383,0.5,0.8,0.092
Brad Daugherty,20.6735112936345,Frontcourt,548,36.5,19,9.5,3.7,0.8,0.7,0.532,0.143,0.747,0.156
John Bagley,22.1971252566735,Backcourt,665,25.7,8.7,2.6,6,1.1,0.1,0.437,0.241,0.779,0.047
Michael Smith,22.2683093771389,Frontcourt,449,23.5,5.6,7.1,1.5,0.8,0.6,0.538,0.143,0.529,0.107
Tony Bennett,23.0793976728268,Backcourt,152,12.4,3.5,1,2,0.5,0,0.412,0.335,0.732,0.041
Bryant Stith,21.5530458590007,Backcourt,586,28,10.1,3.4,2,1,0.2,0.424,0.329,0.841,0.086
Doug Christie,22.1423682409309,Backcourt,827,31.5,11.2,4.1,3.6,1.9,0.5,0.426,0.354,0.821,0.102
Donny Marshall,22.9609856262834,Frontcourt,119,7.7,2.5,1,0.3,0.3,0,0.321,0.336,0.681,0.045
Alfredrick Hughes,22.9308692676249,Frontcourt,68,12.7,5.2,1.7,0.9,0.4,0.1,0.409,0.176,0.583,-0.029
Mark Price,22.3504449007529,Backcourt,722,29.9,15.2,2.6,6.7,1.2,0.1,0.472,0.402,0.904,0.158
Mitchell Wiggins,23.7638603696099,Backcourt,389,20.8,10,3.2,1.6,1,0.1,0.46,0.192,0.755,0.09
Chris Morris,22.4517453798768,Frontcourt,747,25.1,11,4.7,1.6,1.2,0.7,0.441,0.306,0.739,0.096
Christian Laettner,22.8678986995209,Frontcourt,868,29.7,12.8,6.7,2.6,1.1,0.8,0.48,0.261,0.82,0.121
Bubba Wells,22.9308692676249,Frontcourt,39,10.1,3.3,1.7,0.9,0.4,0.1,0.414,0.167,0.721,0.013
Orlando Woolridge,21.4955509924709,Frontcourt,851,28.3,16,4.3,1.9,0.6,0.7,0.513,0.091,0.737,0.106
Jerrod Mustaf,20.6762491444216,Frontcourt,179,10.6,4,2.5,0.6,0.3,0.3,0.449,0,0.648,0.043
Greg Foster,21.7446954140999,Frontcourt,656,12.2,3.9,2.6,0.5,0.1,0.3,0.44,0.225,0.748,0.033
Moochie Norris,22.9308692676249,Backcourt,445,17.2,5.1,2,2.8,0.7,0,0.401,0.286,0.74,0.063
Tony Dumas,21.8569472963723,Backcourt,156,14.2,7.3,1.3,1.2,0.4,0.1,0.404,0.327,0.608,0.027
Loy Vaught,22.3449691991786,Frontcourt,689,24.7,10.1,7.1,0.9,0.7,0.3,0.504,0.244,0.718,0.101
Martin Muursepp,21.7638603696099,Frontcourt,83,11.5,4.7,2.2,0.6,0.5,0.3,0.425,0.323,0.693,0.1
Tom Garrick,21.9911019849418,Backcourt,251,18.8,5.4,2,3.4,1.1,0.1,0.469,0.083,0.775,0.06
Ed Rains,24.4736481861739,Frontcourt,83,11.2,3.5,1.5,0.7,0.3,0,0.423,0,0.626,0.034
Sherman Douglas,22.7967145790554,Backcourt,765,27.6,11,2.2,5.9,1,0.1,0.484,0.267,0.678,0.075
Fernando Martin,23.249144421629,Frontcourt,24,6.1,0.9,1.2,0.4,0.3,0,0.29,0,0.364,-0.144
Dirk Minniefield,22.4572210814511,Backcourt,222,17.1,5.3,1.7,3.8,0.9,0,0.47,0.272,0.739,0.052
Roy Marble,22.5530458590007,Backcourt,29,6.7,1.9,1.1,0.4,0.2,0.1,0.257,0,0.594,-0.122
Jeff McInnis,21.6926762491444,Backcourt,576,27.7,9.4,2,4.4,0.6,0.1,0.431,0.328,0.796,0.07
Joe Wolf,22.5256673511294,Frontcourt,592,16.3,4.2,3.3,1,0.4,0.2,0.423,0.164,0.77,0.017
Eric Williams,22.9609856262834,Frontcourt,658,23.9,8.6,3.3,1.4,0.8,0.2,0.415,0.318,0.736,0.071
Dwayne Schintzius,21.7145790554415,Frontcourt,217,9,2.7,2.5,0.4,0.1,0.5,0.404,0.125,0.638,0.024
Scott Hastings,22.0848733744011,Frontcourt,578,10.4,2.8,2.2,0.5,0.3,0.3,0.441,0.292,0.811,0.079
Anthony Taylor,22.5913757700205,Backcourt,21,17.5,6.9,1.6,2,1,0.2,0.397,0,0.75,0.029
Doug Edwards,22.4544832306639,Frontcourt,85,9.9,2.4,1.8,0.7,0.2,0.3,0.378,0,0.709,0.013
Antonio McDyess,20.8186173853525,Frontcourt,1015,27.6,12,7.5,1.3,0.8,1.1,0.497,0.117,0.67,0.119
Steve Kerr,22.766598220397,Backcourt,910,17.8,6,1.2,1.8,0.5,0.1,0.479,0.454,0.864,0.14
Ken Norman,22.807665982204,Frontcourt,646,29.4,13.5,6.1,2.1,0.8,0.7,0.486,0.312,0.567,0.069
Pearl Washington,22.4599589322382,Backcourt,194,20.8,8.6,1.9,3.8,1.3,0.1,0.452,0.184,0.746,0.023
Ricky Pierce,22.8761122518823,Backcourt,969,24.4,14.9,2.4,1.9,0.8,0.2,0.493,0.322,0.875,0.146
Derek Harper,21.7200547570157,Backcourt,1199,31.5,13.3,2.4,5.5,1.6,0.3,0.463,0.354,0.745,0.11
Bill Wennington,22.1615331964408,Frontcourt,720,13.5,4.6,3,0.6,0.3,0.3,0.459,0.139,0.787,0.087
Pace Mannion,22.7775496235455,Backcourt,216,9.8,3.1,1.2,1.1,0.5,0.1,0.413,0.203,0.663,0.038
Sean Green,21.4079397672827,Backcourt,84,8,4.2,1,0.5,0.4,0.2,0.386,0.246,0.62,-0.095
Steve Smith,22.2518822724162,Backcourt,942,30.6,14.3,3.2,3.1,0.8,0.3,0.44,0.358,0.845,0.139
Kevin Williams,21.807665982204,Backcourt,260,11.3,4.9,1.4,1.2,0.6,0.1,0.435,0.077,0.805,0.042
Corliss Williamson,21.5776865160849,Frontcourt,822,22.8,11.1,3.9,1.2,0.6,0.3,0.49,0.136,0.714,0.089
Rob Williams,21.1642710472279,Backcourt,153,22,8.6,2.2,5.4,1.1,0.1,0.439,0.274,0.789,0.03
Bill Garnett,22.1998631074606,Frontcourt,300,17.5,5.5,4.3,1.3,0.5,0.6,0.49,0,0.72,0.099
Brooks Thompson,23.9609856262834,Backcourt,168,10.2,4.5,0.9,1.7,0.5,0,0.409,0.376,0.647,0.057
Adrian Branch,21.5995893223819,Frontcourt,130,11,6.4,1.9,0.7,0.6,0.1,0.455,0.231,0.744,0.07
Ollie Mack,22.0657084188912,Backcourt,128,19.6,7.2,2.5,1.8,0.7,0.1,0.458,0,0.674,0.048
Tom Tolbert,22.7145790554415,Frontcourt,312,18.2,6.5,4,0.9,0.4,0.3,0.46,0.296,0.716,0.056
Mark Bryant,23.1916495550992,Frontcourt,797,16.9,5.4,3.8,0.6,0.4,0.2,0.5,0.083,0.697,0.093
Samaki Walker,20.3477070499658,Frontcourt,445,17.1,5.3,4.7,0.6,0.3,0.7,0.462,0.111,0.63,0.089
Antonio Lang,22.1368925393566,Frontcourt,143,9.8,2.3,1.5,0.3,0.4,0.3,0.455,0,0.719,0.057
Duane Causwell,22.0876112251882,Frontcourt,541,17.4,4.9,4.2,0.4,0.4,1.4,0.507,0.286,0.618,0.081
Ray Allen,20.9500342231348,Backcourt,1300,35.6,18.9,4.1,3.4,1.1,0.2,0.452,0.4,0.894,0.15
Ron Anderson,25.6954140999316,Frontcourt,664,22.8,10.6,3.5,1.4,0.7,0.1,0.471,0.287,0.814,0.077
Steve Bardo,22.2409308692676,Backcourt,33,9.1,2.2,1.8,1.3,0.4,0.1,0.329,0.1,0.696,-0.02
Eddie Phillips,20.7611225188227,Frontcourt,48,8.7,3.2,1.6,0.6,0.3,0.2,0.406,0,0.678,0.011
Anthony Peeler,22.5941136208077,Backcourt,827,24.7,9.7,2.6,2.4,0.9,0.2,0.427,0.384,0.799,0.072
Brian Oliver,22.0848733744011,Backcourt,118,10,3.3,1,1,0.4,0.1,0.388,0.227,0.705,-0.02
Donnie Boyce,21.8323066392882,Backcourt,30,6.5,2.6,0.8,0.5,0.4,0.2,0.349,0.25,0.5,-0.064
Pat Durham,22.3148528405202,Frontcourt,64,14.5,5,1.7,0.9,0.6,0.5,0.469,0.192,0.667,0.037
Tom Hammonds,22.2683093771389,Frontcourt,687,15.2,5.3,3.3,0.6,0.2,0.2,0.48,0,0.691,0.068
Melvin Turpin,23.4900752908966,Frontcourt,361,19,8.5,4.6,0.5,0.4,1,0.516,0.111,0.777,0.096
Dwayne McClain,22.3750855578371,Backcourt,45,10.2,3.5,0.7,1.5,0.8,0.1,0.383,0.111,0.514,-0.026
Carl Nicks,21.6926762491444,Backcourt,156,16.5,6.8,1.9,1.6,0.8,0,0.462,0,0.57,-0.007
George Zidek,21.9171800136893,Frontcourt,135,9.8,3.4,2.1,0.2,0.1,0.1,0.408,0.25,0.783,0.029
Ledell Eackles,21.6078028747433,Backcourt,441,20.2,10.8,2.2,1.7,0.6,0.1,0.445,0.336,0.767,0.058
Adonis Jordan,22.8733744010951,Backcourt,10,9.7,2.1,0.6,2.2,0.3,0.1,0.296,0.25,0.5,-0.015
James Ray,22.8870636550308,Frontcourt,103,8.2,3.2,2.2,0.7,0.4,0.4,0.428,0.333,0.629,-0.017
Mike Morrison,21.8788501026694,Backcourt,36,4.3,2,0.6,0.3,0.1,0,0.338,0.286,0.8,-0.106
Gaylon Nickerson,25.4106776180698,Backcourt,4,10.5,3.8,1.3,0.3,0.3,0.3,0.333,0,1,0.076
Doug Lee,22.6735112936345,Backcourt,73,5.7,2.3,0.6,0.4,0.2,0.1,0.412,0.31,0.7,0.086
Felton Spencer,22.4626967830253,Frontcourt,640,19.2,5.2,5.4,0.3,0.4,0.8,0.484,0,0.658,0.081
Alvin Williams,22.9007529089665,Backcourt,460,27.4,9,2.5,4.1,1.2,0.2,0.421,0.313,0.76,0.082
Grant Hill,21.7446954140999,Frontcourt,1026,33.9,16.7,6,4.1,1.2,0.6,0.483,0.314,0.769,0.138
Russ Schoene,22.2162902121834,Frontcourt,290,12.2,5.1,2.5,0.6,0.4,0.2,0.435,0.335,0.751,0.061
Brent Barry,23.5065023956194,Backcourt,912,25.9,9.3,3,3.2,1,0.3,0.46,0.405,0.823,0.143
Tim Thomas,20.3394934976044,Frontcourt,824,25.9,11.5,4.1,1.5,0.7,0.4,0.437,0.369,0.758,0.079
Stephon Marbury,19.3586584531143,Backcourt,846,37.7,19.3,3,7.6,1.2,0.1,0.433,0.325,0.784,0.117
Chris Mills,23.4435318275154,Frontcourt,568,30.4,11.2,4.9,1.9,0.7,0.4,0.432,0.351,0.817,0.105
Robert Horry,21.8459958932238,Frontcourt,1107,24.5,7,4.8,2.1,1,0.9,0.425,0.341,0.726,0.118
Randy Breuer,22.72553045859,Frontcourt,681,18.4,6.8,4.4,0.9,0.4,1.1,0.467,0,0.628,0.08
Kenny Smith,22.3039014373717,Backcourt,737,30.1,12.8,2,5.5,1,0.1,0.48,0.399,0.829,0.101
Olden Polynice,22.5968514715948,Frontcourt,1058,23.5,7.8,6.7,0.7,0.5,0.6,0.505,0.192,0.535,0.09
